county_desc	precinct_abbrv	vtd_abbrv	age	party_cd	race_code	ethnic_code	sex_code	total_voters	election_date	stats_type	update_date	voting_method	voting_method_desc	voted_party_cd
GUILFORD	G48	G48	Age 41 - 65	DEM	W	UN	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
WARREN	007	007	Age 26 - 40	UNA	B	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
CLEVELAND	LAWNDL	LAWNDL	Age 26 - 40	DEM	B	NL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
PITT	1508A	1508A	Age Over 66	REP	W	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
DAVIDSON	88	02	Age 41 - 65	UNA	O	HL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MECKLENBURG	121	121	Age Over 66	UNA	O	NL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
GUILFORD	G24	G24	Age 26 - 40	UNA	W	NL	F	18	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
WAKE	20-16	20-02	Age Over 66	DEM	O	HL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
JACKSON	GLV	HAMMNT	Age 26 - 40	UNA	W	UN	F	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
GREENE	BULL	BULL	Age 41 - 65	UNA	W	NL	F	4	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
LENOIR	N	N	Age 41 - 65	UNA	B	UN	F	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
BEAUFORT	GILEA	GILEA	Age Over 66	REP	W	NL	M	6	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
GUILFORD	MON3	MON3	Age 18 - 25	REP	W	NL	M	5	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
NEW HANOVER	FP04	FP04	Age 41 - 65	DEM	O	NL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CABARRUS	02-02	02-02	Age 18 - 25	DEM	O	HL	F	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CABARRUS	02-06	02-06	Age 41 - 65	UNA	W	NL	M	16	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
NEW HANOVER	W16	W16	Age 18 - 25	UNA	M	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
DURHAM	54	54	Age 41 - 65	DEM	B	HL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
WAKE	02-02	02-02	Age 26 - 40	UNA	W	NL	F	18	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
LENOIR	K6	K6	Age Over 66	UNA	B	UN	M	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
MECKLENBURG	141	141	Age 18 - 25	DEM	M	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MACON	01	01	Age Over 66	UNA	U	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ROWAN	21	21	Age 18 - 25	DEM	B	NL	M	7	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
GUILFORD	G67	G67	Age 18 - 25	DEM	B	NL	M	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
MECKLENBURG	135	135	Age 18 - 25	DEM	O	UN	F	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CRAVEN	16	16	Age 18 - 25	LIB	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	LIB
JOHNSTON	PR11B	PR11B	Age Over 66	DEM	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MECKLENBURG	100	100	Age 41 - 65	DEM	W	HL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
DURHAM	34-2	34	Age Over 66	DEM	U	UN	U	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CUMBERLAND	G8B	G8	Age 18 - 25	UNA	O	HL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
FRANKLIN	16	16	Age 41 - 65	UNA	B	UN	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
GUILFORD	G04	G04	Age 18 - 25	UNA	B	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
WAKE	19-11	19-11	Age 41 - 65	UNA	W	UN	F	19	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
CUMBERLAND	G11B	G11	Age 41 - 65	UNA	B	NL	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
WAKE	01-38	01-38	Age 26 - 40	UNA	U	UN	U	21	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
FORSYTH	404	404	Age 26 - 40	DEM	W	UN	U	6	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ROBESON	30	30	Age 41 - 65	DEM	B	NL	M	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
GATES	1	1	Age 18 - 25	REP	W	NL	F	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
HAYWOOD	SA	SA	Age 41 - 65	UNA	W	UN	M	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
FORSYTH	709	709	Age 41 - 65	DEM	B	NL	F	1	11/03/2020	history	01/13/2021	PROV	PROV	DEM
MECKLENBURG	031	031	Age 41 - 65	REP	U	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
MARTIN	PP	PP	Age 41 - 65	REP	W	NL	F	2	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
HOKE	14	06	Age Over 66	DEM	I	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ORANGE	PA	PA	Age 26 - 40	REP	W	NL	F	4	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
GUILFORD	SUM4	SUM4	Age 18 - 25	UNA	U	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
FORSYTH	091	091	Age 41 - 65	REP	W	NL	F	1	11/03/2020	history	01/13/2021	PROV	PROV	REP
RANDOLPH	PR	29	Age 26 - 40	REP	W	UN	U	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
UNION	003	003	Age 18 - 25	UNA	U	HL	F	1	11/03/2020	history	01/13/2021	PROV	PROV	UNA
ALAMANCE	103	103	Age 26 - 40	DEM	W	NL	F	13	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MECKLENBURG	047	047	Age 18 - 25	REP	W	UN	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
ALAMANCE	04	04	Age Over 66	DEM	U	UN	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
GUILFORD	FR1	FR1	Age Over 66	UNA	W	UN	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
WAKE	01-12	01-12	Age 41 - 65	DEM	W	UN	F	10	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
WAYNE	05	05	Age 26 - 40	REP	B	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
MACON	10	10	Age 26 - 40	UNA	W	UN	M	4	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
FORSYTH	707	707	Age Over 66	REP	W	NL	F	16	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
MECKLENBURG	012	012	Age 41 - 65	UNA	U	UN	U	8	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
BUNCOMBE	51.2	107.1	Age 26 - 40	UNA	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MECKLENBURG	068	068	Age 41 - 65	DEM	B	UN	M	13	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MECKLENBURG	048	048	Age Over 66	UNA	W	NL	M	5	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
NEW HANOVER	W13	W13	Age 26 - 40	LIB	O	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	LIB
WAKE	20-14	20-02	Age 26 - 40	UNA	W	HL	M	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
HENDERSON	AT	AT	Age Over 66	UNA	A	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
LEE	C1	C	Age 26 - 40	DEM	W	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
DAVIDSON	26	26	Age Over 66	DEM	W	UN	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
UNION	003	003	Age Over 66	DEM	W	UN	F	4	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
GUILFORD	FR1	FR1	Age 18 - 25	DEM	B	NL	M	5	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
HALIFAX	FAUCT	FAUCT	Age Over 66	UNA	W	NL	F	20	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
PERSON	PNTH	ROX2	Age 18 - 25	DEM	U	UN	U	6	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
CALDWELL	PR35	PR28	Age Over 66	REP	W	UN	U	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
ROBESON	19	19	Age 18 - 25	REP	I	NL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
RICHMOND	03	03	Age 18 - 25	REP	W	HL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
HARNETT	PR07	PR07	Age 41 - 65	UNA	U	UN	F	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
HENDERSON	LJ	LJ	Age Over 66	UNA	W	NL	U	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
ONSLOW	CR07	CR07	Age 26 - 40	DEM	B	NL	F	16	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
RANDOLPH	UG	16	Age 18 - 25	UNA	W	UN	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
GASTON	03	03	Age 41 - 65	UNA	W	NL	F	5	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
RUTHERFORD	16A	16A	Age 41 - 65	DEM	W	NL	M	8	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
BRUNSWICK	04B2	04	Age 18 - 25	DEM	O	NL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
MECKLENBURG	151	151	Age 41 - 65	UNA	W	UN	M	5	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
BURKE	0040	0040	Age 26 - 40	UNA	O	HL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
GUILFORD	G53	G53	Age 41 - 65	DEM	B	UN	F	7	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CATAWBA	28	28	Age 26 - 40	UNA	W	NL	M	9	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
ROWAN	10	10	Age Over 66	REP	W	NL	M	20	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
WAKE	04-12	04-12	Age 26 - 40	UNA	A	NL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MECKLENBURG	232	232	Age 41 - 65	UNA	U	HL	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
MECKLENBURG	057	057	Age 18 - 25	REP	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
JOHNSTON	PR30	PR30	Age 41 - 65	DEM	W	NL	M	30	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ROWAN	45	45	Age 26 - 40	REP	W	NL	M	7	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
GASTON	22	22	Age 41 - 65	UNA	B	NL	F	8	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
FORSYTH	031	031	Age 26 - 40	UNA	M	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
WAYNE	10	10	Age Over 66	UNA	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
WAKE	04-13	04-13	Age 41 - 65	UNA	O	NL	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
CALDWELL	PR30	PR09	Age 41 - 65	DEM	W	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
MARTIN	R2	R2	Age 18 - 25	REP	W	NL	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
WAYNE	15	15	Age 41 - 65	DEM	W	NL	F	30	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ONSLOW	BM08	BM08	Age 41 - 65	REP	O	HL	F	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
DURHAM	23	23	Age 26 - 40	DEM	U	NL	F	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
HYDE	SLAD	SLAD	Age Over 66	DEM	B	NL	F	4	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
SURRY	10	10	Age 41 - 65	UNA	U	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
CATAWBA	39	39	Age 41 - 65	DEM	B	NL	F	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
WAKE	16-02	16-02	Age 41 - 65	LIB	W	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	LIB
WASHINGTON	SC	SC	Age 18 - 25	UNA	W	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MECKLENBURG	201	201	Age 18 - 25	REP	W	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
BEAUFORT	HB	HB	Age 41 - 65	DEM	B	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
HAYWOOD	WS-1	WS-1	Age 26 - 40	REP	U	UN	U	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
SCOTLAND	06-89	09	Age 26 - 40	DEM	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
UNION	004	004	Age 18 - 25	UNA	B	UN	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
EDGECOMBE	0701	0701	Age 41 - 65	UNA	U	UN	F	5	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
COLUMBUS	P20A	P20	Age 26 - 40	UNA	B	NL	F	1	11/03/2020	history	01/13/2021	TRANSFER	TRANSFER	UNA
WAKE	09-01	09-01	Age Over 66	REP	W	UN	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
BRUNSWICK	10B	10	Age 18 - 25	UNA	W	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
FORSYTH	042	042	Age 41 - 65	DEM	M	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
HYDE	ENG	ENG	Age Over 66	REP	W	UN	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
CABARRUS	02-06	02-06	Age 18 - 25	DEM	W	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CUMBERLAND	CC18	CC18	Age 26 - 40	UNA	M	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
COLUMBUS	P25B	P25	Age 18 - 25	DEM	W	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
SAMPSON	KEEN	KEEN	Age 41 - 65	UNA	B	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
UNION	029A	029A	Age 41 - 65	UNA	M	HL	F	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
WAKE	01-37	01-37	Age 26 - 40	UNA	W	UN	M	5	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
GUILFORD	CG3A	CG3A	Age 26 - 40	UNA	W	NL	F	18	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
GUILFORD	G11	G11	Age 18 - 25	REP	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
WAKE	19-05	19-05	Age 26 - 40	UNA	O	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
ROCKINGHAM	IR	IR	Age 26 - 40	UNA	B	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
NEW HANOVER	H04	H04	Age 41 - 65	UNA	U	UN	U	6	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MECKLENBURG	211	211	Age 18 - 25	DEM	B	UN	M	41	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
DURHAM	01	01	Age 18 - 25	UNA	M	HL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
HALIFAX	HOL	HOL	Age 41 - 65	DEM	W	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
CABARRUS	04-03	04-03	Age 26 - 40	UNA	W	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
PENDER	UH08	UH08	Age 26 - 40	DEM	B	UN	F	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
CATAWBA	19	19	Age Over 66	REP	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
FORSYTH	602	602	Age 18 - 25	REP	U	HL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
HENDERSON	FL	FL	Age 41 - 65	UNA	B	UN	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
BUNCOMBE	70.1	70.1	Age 18 - 25	UNA	W	UN	M	4	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
DURHAM	45	45	Age 41 - 65	UNA	I	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
PITT	1403A2	1403A	Age 26 - 40	REP	O	HL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
MECKLENBURG	126	126	Age 41 - 65	DEM	W	UN	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
MECKLENBURG	036	036	Age 41 - 65	DEM	B	NL	F	2	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
LINCOLN	DN29	DN29	Age 26 - 40	REP	W	NL	M	24	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
CATAWBA	07	07	Age 41 - 65	UNA	B	UN	M	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
FORSYTH	101	101	Age 18 - 25	DEM	B	UN	M	4	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MOORE	VSS	VSS	Age 41 - 65	REP	W	UN	M	11	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
WAKE	04-12	04-12	Age 26 - 40	UNA	W	UN	F	6	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
WAYNE	28	28	Age 26 - 40	UNA	U	UN	U	4	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
ASHE	07	07	Age 18 - 25	UNA	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
FORSYTH	704	704	Age 18 - 25	DEM	W	NL	M	4	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
COLUMBUS	P01A	P01	Age 26 - 40	UNA	B	NL	M	4	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
DAVIE	11	11	Age Over 66	REP	W	UN	M	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
FORSYTH	011	011	Age 18 - 25	LIB	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	LIB
FORSYTH	507	507	Age 18 - 25	REP	O	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
CATAWBA	05	05	Age Over 66	REP	W	UN	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
PITT	0601	0601	Age 41 - 65	REP	W	NL	M	79	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
WATAUGA	13	13	Age 26 - 40	UNA	A	NL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
WAKE	13-08	13-08	Age 26 - 40	REP	W	NL	F	4	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
WAKE	19-09	19-09	Age 26 - 40	DEM	U	UN	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MECKLENBURG	139.1	139.1	Age Over 66	DEM	B	NL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CUMBERLAND	CC12	CC12	Age 41 - 65	DEM	W	NL	M	16	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
CUMBERLAND	G4B	G4	Age 41 - 65	UNA	U	HL	U	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
MECKLENBURG	090	090	Age 18 - 25	UNA	B	NL	F	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ONSLOW	EN03	EN03	Age 26 - 40	DEM	W	UN	F	4	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
CABARRUS	04-03	04-03	Age 41 - 65	UNA	U	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
AVERY	14	14	Age 41 - 65	REP	W	NL	F	23	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
MECKLENBURG	003	003	Age Over 66	DEM	U	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
MECKLENBURG	091	091	Age 41 - 65	UNA	U	NL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MOORE	SSP	SSP	Age 26 - 40	DEM	O	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
FORSYTH	205	205	Age 41 - 65	REP	W	UN	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
ONSLOW	EN03	EN03	Age Over 66	REP	U	UN	U	9	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
ALAMANCE	035	035	Age 26 - 40	REP	B	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
FORSYTH	131	131	Age 41 - 65	DEM	B	NL	F	4	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
CUMBERLAND	MR02	MR02	Age Over 66	DEM	B	NL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
WAKE	20-16	20-02	Age 41 - 65	REP	I	UN	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
MECKLENBURG	012	012	Age 41 - 65	DEM	M	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
HARNETT	PR08	PR08	Age 41 - 65	DEM	B	UN	F	5	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
MONTGOMERY	WAD	WAD	Age 26 - 40	DEM	B	NL	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
UNION	020B	020B	Age 41 - 65	UNA	W	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ORANGE	KM	KM	Age 18 - 25	LIB	W	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	LIB
ROWAN	19A	19	Age 41 - 65	UNA	B	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
CUMBERLAND	G5A-2	G5	Age 41 - 65	REP	I	UN	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
GUILFORD	G13	G13	Age 18 - 25	REP	W	NL	F	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
WAKE	01-50	01-50	Age 26 - 40	DEM	O	HL	F	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
WAYNE	13	13	Age 41 - 65	UNA	B	NL	M	6	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ORANGE	GB	GB	Age 41 - 65	DEM	M	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
CABARRUS	02-06	02-06	Age 41 - 65	UNA	U	UN	F	5	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
CRAVEN	05	05	Age 41 - 65	LIB	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	LIB
NEW HANOVER	M07	M05	Age Over 66	DEM	W	NL	F	1	11/03/2020	history	01/13/2021	CURBSIDE	CURBSIDE	DEM
DAVIDSON	46	46	Age 41 - 65	UNA	W	NL	M	11	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
STANLY	0010	0010	Age 26 - 40	REP	U	UN	U	5	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
MCDOWELL	FORT 1	FORT-1	Age 41 - 65	DEM	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
CUMBERLAND	CC25	CC25	Age 18 - 25	UNA	U	UN	F	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
BUNCOMBE	39.3	39.1	Age Over 66	DEM	W	NL	F	64	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
RICHMOND	01	01	Age 41 - 65	DEM	B	UN	U	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
WAYNE	10	10	Age 26 - 40	REP	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
WAKE	01-51	01-51	Age 26 - 40	UNA	M	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
MECKLENBURG	145	145	Age 26 - 40	LIB	W	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	LIB
DURHAM	 	 	Age 41 - 65	REP	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
