county_desc	election_date	stats_type	precinct_abbrv	vtd_abbrv	party_cd	race_code	ethnic_code	sex_code	age	total_voters	update_date
GUILFORD	11/03/2020	voter	MON2A	MON2	UNA	M	HL	M	Age 26 - 40	1	
ONSLOW	11/03/2020	voter	WN04	WN04	REP	O	UN	F	Age 26 - 40	1	
HENDERSON	11/03/2020	voter	ES	ES	UNA	O	NL	M	Age 41 - 65	3	
GUILFORD	11/03/2020	voter	G27	G27	UNA	B	NL	M	Age 41 - 65	8	
ROBESON	11/03/2020	voter	08	08	DEM	M	HL	M	Age 18 - 25	3	
GUILFORD	11/03/2020	voter	H29A	HP	REP	A	NL	F	Age 41 - 65	5	
IREDELL	11/03/2020	voter	ST1	ST1	REP	W	HL	M	Age 18 - 25	3	
FRANKLIN	11/03/2020	voter	09	09	UNA	B	NL	M	Age 26 - 40	2	
NORTHAMPTON	11/03/2020	voter	GASTON	GASTON	UNA	B	NL	M	Age Over 66	7	
BUNCOMBE	11/03/2020	voter	05.1	05.1	REP	W	NL	F	Age 26 - 40	8	
WAKE	11/03/2020	voter	01-19	01-19	DEM	B	UN	F	Age 26 - 40	51	
CHATHAM	11/03/2020	voter	MCH110	MCH110	REP	W	NL	U	Age Over 66	2	
MCDOWELL	11/03/2020	voter	FORT 2	FORT-2	LIB	U	UN	U	Age 26 - 40	2	
ORANGE	11/03/2020	voter	UNC	CC	UNA	A	UN	M	Age 18 - 25	2	
ROWAN	11/03/2020	voter	44	44	REP	O	HL	F	Age 26 - 40	1	
DUPLIN	11/03/2020	voter	CHAR	CHAR	DEM	U	NL	U	Age 41 - 65	1	
PERSON	11/03/2020	voter	PNTH	ROX3	DEM	M	NL	F	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	017	017	UNA	M	NL	F	Age 18 - 25	3	
GUILFORD	11/03/2020	voter	G01	G01	UNA	I	NL	M	Age Over 66	1	
FORSYTH	11/03/2020	voter	052	052	UNA	U	NL	F	Age 26 - 40	1	
STOKES	11/03/2020	voter	1819	19	REP	I	UN	F	Age 41 - 65	1	
MECKLENBURG	11/03/2020	voter	231	231	UNA	U	NL	M	Age Over 66	1	
WAKE	11/03/2020	voter	18-06	18-06	UNA	W	NL	U	Age 41 - 65	3	
LENOIR	11/03/2020	voter	I	I	UNA	B	NL	F	Age 18 - 25	8	
PERSON	11/03/2020	voter	WDSD	WDSD	UNA	B	NL	F	Age 41 - 65	8	
GUILFORD	11/03/2020	voter	G22	G22	DEM	O	NL	F	Age 41 - 65	1	
LENOIR	11/03/2020	voter	C	C	UNA	B	NL	F	Age 41 - 65	11	
PITT	11/03/2020	voter	1505B	1505B	DEM	B	NL	F	Age 18 - 25	130	
MECKLENBURG	11/03/2020	voter	043	043	UNA	O	NL	M	Age Over 66	4	
MOORE	11/03/2020	voter	BEN	BEN	REP	O	NL	F	Age 26 - 40	1	
UNION	11/03/2020	voter	033	033	UNA	U	UN	M	Age Over 66	1	
HENDERSON	11/03/2020	voter	ED	ED	LIB	U	UN	M	Age 26 - 40	1	
BRUNSWICK	11/03/2020	voter	07	07	UNA	O	HL	F	Age 41 - 65	1	
MECKLENBURG	11/03/2020	voter	235	235	DEM	W	UN	F	Age 26 - 40	4	
WAKE	11/03/2020	voter	01-19	01-19	DEM	B	UN	M	Age 41 - 65	98	
TRANSYLVANIA	11/03/2020	voter	CC	CC	DEM	B	NL	F	Age 18 - 25	1	
RANDOLPH	11/03/2020	voter	TR	39	UNA	I	NL	M	Age 18 - 25	1	
CUMBERLAND	11/03/2020	voter	CC07	CC07	DEM	U	UN	U	Age 26 - 40	7	
GUILFORD	11/03/2020	voter	H25	H25	DEM	W	UN	M	Age 18 - 25	2	
CRAVEN	11/03/2020	voter	02	22	REP	A	UN	F	Age 26 - 40	2	
WAYNE	11/03/2020	voter	29	29	DEM	O	UN	M	Age 26 - 40	2	
GUILFORD	11/03/2020	voter	MON1	MON1	DEM	W	NL	M	Age Over 66	34	
GUILFORD	11/03/2020	voter	GIB	GIB	REP	W	NL	F	Age 18 - 25	21	
FORSYTH	11/03/2020	voter	072	072	UNA	W	HL	F	Age 26 - 40	3	
DUPLIN	11/03/2020	voter	CHAR	CHAR	DEM	U	HL	M	Age Over 66	2	
PERSON	11/03/2020	voter	OLHI	OLHI	REP	I	UN	F	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	094	094	REP	B	UN	M	Age 18 - 25	1	
CALDWELL	11/03/2020	voter	PR01	PR01	DEM	U	HL	M	Age 26 - 40	3	
HALIFAX	11/03/2020	voter	RR3-4	RR-4	DEM	I	NL	M	Age 41 - 65	1	
ONSLOW	11/03/2020	voter	HM05	HM05	REP	M	HL	M	Age 26 - 40	1	
GUILFORD	11/03/2020	voter	G60	G60	DEM	O	NL	F	Age 26 - 40	6	
GASTON	11/03/2020	voter	19	19	UNA	A	NL	F	Age Over 66	1	
SAMPSON	11/03/2020	voter	CLWE	CLWE	REP	W	UN	F	Age 26 - 40	7	
MECKLENBURG	11/03/2020	voter	213	213	DEM	W	UN	M	Age 41 - 65	6	
DARE	11/03/2020	voter	EL	EL	DEM	U	UN	U	Age 18 - 25	1	
BURKE	11/03/2020	voter	0021	0021	DEM	O	HL	M	Age 41 - 65	1	
HAYWOOD	11/03/2020	voter	BE-7	BE-7	DEM	W	UN	M	Age 26 - 40	3	
FORSYTH	11/03/2020	voter	034	034	DEM	I	NL	F	Age 26 - 40	1	
FORSYTH	11/03/2020	voter	503	503	DEM	B	HL	F	Age 26 - 40	1	
BRUNSWICK	11/03/2020	voter	14	14	REP	I	NL	F	Age 41 - 65	2	
DAVIDSON	11/03/2020	voter	64	64	DEM	W	NL	F	Age Over 66	13	
PITT	11/03/2020	voter	1507	1507	REP	M	NL	M	Age 26 - 40	1	
HOKE	11/03/2020	voter	06B	06	UNA	M	NL	M	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	059	059	UNA	W	HL	F	Age 41 - 65	1	
JOHNSTON	11/03/2020	voter	PR32	PR32	UNA	W	UN	U	Age 26 - 40	5	
MECKLENBURG	11/03/2020	voter	147	147	UNA	W	HL	M	Age Over 66	1	
CUMBERLAND	11/03/2020	voter	G10A	G10	REP	A	UN	M	Age 41 - 65	2	
HARNETT	11/03/2020	voter	PR28	PR28	REP	W	NL	F	Age 26 - 40	179	
BUNCOMBE	11/03/2020	voter	66.1	66.1	LIB	W	UN	F	Age 26 - 40	2	
DURHAM	11/03/2020	voter	14	14	LIB	B	UN	F	Age 41 - 65	1	
FORSYTH	11/03/2020	voter	302	302	REP	W	NL	F	Age Over 66	2	
ROWAN	11/03/2020	voter	13	13	DEM	W	NL	M	Age 26 - 40	8	
BUNCOMBE	11/03/2020	voter	13.1	13.1	REP	O	NL	M	Age 18 - 25	1	
GUILFORD	11/03/2020	voter	JEF4	JEF4	REP	U	HL	U	Age 41 - 65	1	
CABARRUS	11/03/2020	voter	02-08	02-08	UNA	M	NL	F	Age 18 - 25	3	
MECKLENBURG	11/03/2020	voter	228	228	UNA	U	UN	U	Age 18 - 25	66	
YADKIN	11/03/2020	voter	BNVL	BNVL	LIB	W	NL	M	Age 26 - 40	2	
ORANGE	11/03/2020	voter	EA1	EA	UNA	O	UN	F	Age 26 - 40	1	
HENDERSON	11/03/2020	voter	NM	NM	UNA	A	UN	F	Age Over 66	1	
GASTON	11/03/2020	voter	34	34	DEM	U	UN	U	Age 41 - 65	5	
MECKLENBURG	11/03/2020	voter	130	130	UNA	B	UN	F	Age Over 66	1	
MECKLENBURG	11/03/2020	voter	035	035	UNA	W	HL	M	Age 18 - 25	3	
BURKE	11/03/2020	voter	0035	0035	UNA	U	HL	F	Age 18 - 25	4	
ROWAN	11/03/2020	voter	38	38	UNA	B	UN	M	Age 26 - 40	10	
JOHNSTON	11/03/2020	voter	PR22	PR22	UNA	W	NL	M	Age 18 - 25	37	
GASTON	11/03/2020	voter	30	30	UNA	W	NL	U	Age 26 - 40	1	
FRANKLIN	11/03/2020	voter	12	12	UNA	O	HL	M	Age 26 - 40	1	
WAKE	11/03/2020	voter	19-17	19-17	LIB	U	UN	U	Age Over 66	1	
HARNETT	11/03/2020	voter	PR23	PR23	REP	U	UN	M	Age 18 - 25	4	
CUMBERLAND	11/03/2020	voter	G3A-1	G3	REP	A	UN	F	Age 41 - 65	4	
LINCOLN	11/03/2020	voter	BS26	BS26	REP	W	UN	M	Age 41 - 65	23	
UNION	11/03/2020	voter	016	016	DEM	U	UN	F	Age 18 - 25	1	
RUTHERFORD	11/03/2020	voter	05A	05A	REP	W	HL	M	Age 26 - 40	2	
NEW HANOVER	11/03/2020	voter	W13	W13	REP	O	HL	M	Age 41 - 65	1	
LEE	11/03/2020	voter	D2	D	DEM	M	HL	M	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	020	020	UNA	U	UN	M	Age 18 - 25	1	
GUILFORD	11/03/2020	voter	G40A1	G40A1	UNA	U	NL	M	Age 18 - 25	1	
GUILFORD	11/03/2020	voter	G19	G19	UNA	B	NL	F	Age 18 - 25	1	
PITT	11/03/2020	voter	1503	1503	UNA	A	HL	F	Age 26 - 40	1	
ALAMANCE	11/03/2020	voter	129	129	LIB	W	NL	F	Age 18 - 25	1	
PASQUOTANK	11/03/2020	voter	SOUTH	4-A	UNA	U	UN	U	Age 26 - 40	3	
MECKLENBURG	11/03/2020	voter	235	235	UNA	O	NL	M	Age 26 - 40	3	
RANDOLPH	11/03/2020	voter	TT	38	UNA	W	HL	F	Age 18 - 25	1	
WAKE	11/03/2020	voter	04-17	04-17	UNA	O	HL	F	Age 26 - 40	4	
DUPLIN	11/03/2020	voter	WOLF	WOLF	UNA	O	HL	F	Age 18 - 25	10	
MECKLENBURG	11/03/2020	voter	230	230	UNA	M	UN	M	Age 41 - 65	1	
PITT	11/03/2020	voter	0200A	0200A	UNA	O	UN	F	Age 41 - 65	1	
JACKSON	11/03/2020	voter	CFK	CFK	REP	W	UN	F	Age 18 - 25	2	
JOHNSTON	11/03/2020	voter	PR31B	PR31B	LIB	W	NL	F	Age 18 - 25	2	
WAKE	11/03/2020	voter	01-22	01-22	DEM	B	NL	M	Age 18 - 25	100	
ROCKINGHAM	11/03/2020	voter	LI	LI	DEM	B	NL	F	Age Over 66	82	
BRUNSWICK	11/03/2020	voter	22	22	DEM	W	UN	F	Age 18 - 25	2	
MECKLENBURG	11/03/2020	voter	108	108	UNA	A	UN	M	Age 41 - 65	2	
MECKLENBURG	11/03/2020	voter	052	052	REP	W	NL	F	Age 18 - 25	1	
NEW HANOVER	11/03/2020	voter	W17	W17	UNA	W	UN	U	Age Over 66	1	
LEE	11/03/2020	voter	A1	A	DEM	O	NL	M	Age 26 - 40	2	
WAKE	11/03/2020	voter	09-01	09-01	DEM	W	UN	U	Age 18 - 25	1	
WILSON	11/03/2020	voter	PRWC	PRWC	UNA	U	UN	U	Age 18 - 25	11	
RANDOLPH	11/03/2020	voter	TR	28	DEM	U	NL	M	Age 41 - 65	1	
CUMBERLAND	11/03/2020	voter	G2E-1	G2	UNA	W	NL	M	Age 18 - 25	10	
ROBESON	11/03/2020	voter	19	19	REP	I	NL	U	Age Over 66	2	
WAKE	11/03/2020	voter	09-01	09-01	UNA	W	HL	F	Age Over 66	1	
UNION	11/03/2020	voter	030	030	REP	U	HL	M	Age 41 - 65	1	
CARTERET	11/03/2020	voter	NRIV	NRIV	DEM	B	NL	M	Age 26 - 40	9	
ORANGE	11/03/2020	voter	RF	RF	DEM	U	NL	M	Age 26 - 40	2	
BRUNSWICK	11/03/2020	voter	20	20	REP	W	UN	U	Age 18 - 25	2	
MECKLENBURG	11/03/2020	voter	128	128	UNA	W	NL	M	Age 41 - 65	96	
WATAUGA	11/03/2020	voter	14	14	REP	U	UN	U	Age Over 66	2	
GUILFORD	11/03/2020	voter	G14	G14	UNA	U	UN	F	Age 41 - 65	3	
GUILFORD	11/03/2020	voter	G66	G66	REP	W	NL	M	Age 41 - 65	129	
DURHAM	11/03/2020	voter	41	41	DEM	O	UN	M	Age Over 66	2	
DAVIE	11/03/2020	voter	08	08	UNA	M	NL	M	Age 18 - 25	2	
MECKLENBURG	11/03/2020	voter	037	037	UNA	B	UN	M	Age 26 - 40	3	
CARTERET	11/03/2020	voter	MHD4	MHD4	LIB	W	UN	F	Age 41 - 65	1	
ROCKINGHAM	11/03/2020	voter	LI	LI	DEM	A	UN	M	Age 26 - 40	1	
FORSYTH	11/03/2020	voter	013	013	DEM	O	HL	M	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	140	140	DEM	I	NL	F	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	237	237	DEM	U	HL	M	Age 18 - 25	2	
CUMBERLAND	11/03/2020	voter	SL78-3	G11	REP	W	NL	F	Age Over 66	39	
ORANGE	11/03/2020	voter	SJ	SJ	DEM	A	UN	F	Age 26 - 40	1	
UNION	11/03/2020	voter	042	042	REP	W	NL	F	Age 26 - 40	75	
SCOTLAND	11/03/2020	voter	04	04	UNA	U	UN	M	Age Over 66	1	
GUILFORD	11/03/2020	voter	JEF2	JEF2	DEM	B	HL	M	Age 18 - 25	1	
WAKE	11/03/2020	voter	06-07	06-07	DEM	O	HL	U	Age 26 - 40	1	
CUMBERLAND	11/03/2020	voter	CC01	CC01	DEM	M	NL	F	Age 26 - 40	6	
CABARRUS	11/03/2020	voter	12-11	12-11	DEM	U	UN	F	Age 41 - 65	5	
ROBESON	11/03/2020	voter	13	13	UNA	A	NL	F	Age 26 - 40	2	
ALEXANDER	11/03/2020	voter	LRSL	SL	DEM	U	UN	F	Age 26 - 40	1	
CUMBERLAND	11/03/2020	voter	AL51	AL51	REP	W	UN	M	Age 26 - 40	48	
UNION	11/03/2020	voter	019	019	DEM	W	UN	F	Age 18 - 25	3	
WAKE	11/03/2020	voter	12-05	12-05	DEM	O	NL	M	Age 41 - 65	2	
HOKE	11/03/2020	voter	14	06	REP	B	UN	F	Age 26 - 40	1	
DUPLIN	11/03/2020	voter	ALBE	ALBE	DEM	B	UN	M	Age Over 66	4	
BUNCOMBE	11/03/2020	voter	71.1	71.1	UNA	W	HL	M	Age 41 - 65	1	
CUMBERLAND	11/03/2020	voter	G8B	G8	UNA	O	NL	F	Age 26 - 40	3	
RANDOLPH	11/03/2020	voter	TR	39	REP	O	HL	F	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	202	202	UNA	B	NL	F	Age 26 - 40	23	
FORSYTH	11/03/2020	voter	203	203	DEM	B	UN	M	Age 26 - 40	45	
GASTON	11/03/2020	voter	08	08	UNA	I	NL	F	Age 26 - 40	1	
ORANGE	11/03/2020	voter	GL	GL	UNA	W	NL	M	Age 41 - 65	112	
MACON	11/03/2020	voter	14	14	DEM	W	UN	F	Age 26 - 40	1	
EDGECOMBE	11/03/2020	voter	1001	1001	LIB	W	NL	M	Age 18 - 25	1	
UNION	11/03/2020	voter	028B	028	UNA	U	UN	M	Age 18 - 25	4	
DURHAM	11/03/2020	voter	37	37	REP	O	HL	F	Age 41 - 65	1	
CUMBERLAND	11/03/2020	voter	G7A	G7	LIB	W	NL	M	Age 18 - 25	1	
EDGECOMBE	11/03/2020	voter	0301	0301	UNA	B	NL	F	Age 18 - 25	1	
DAVIDSON	11/03/2020	voter	62	62	UNA	U	HL	F	Age 26 - 40	1	
ORANGE	11/03/2020	voter	GL	GL	REP	O	UN	F	Age 41 - 65	2	
PASQUOTANK	11/03/2020	voter	WEST	3-A	UNA	W	NL	F	Age Over 66	25	
ANSON	11/03/2020	voter	WADES	W3	UNA	W	NL	M	Age 26 - 40	24	
GASTON	11/03/2020	voter	13	13	REP	U	UN	M	Age 41 - 65	2	
GRANVILLE	11/03/2020	voter	OKHL	OKHL	DEM	W	UN	F	Age 26 - 40	2	
BURKE	11/03/2020	voter	0014	0014	DEM	W	UN	F	Age 18 - 25	1	
STANLY	11/03/2020	voter	0212	0012	UNA	O	HL	M	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	045	045	REP	B	NL	F	Age Over 66	2	
GASTON	11/03/2020	voter	14	14	REP	O	HL	F	Age 41 - 65	3	
FRANKLIN	11/03/2020	voter	03	03	DEM	A	UN	F	Age Over 66	1	
GASTON	11/03/2020	voter	01	01	DEM	W	NL	M	Age 18 - 25	7	
YADKIN	11/03/2020	voter	NKNB	NKNB	DEM	W	UN	U	Age Over 66	1	
ORANGE	11/03/2020	voter	SJ	SJ	UNA	U	UN	M	Age 26 - 40	3	
RUTHERFORD	11/03/2020	voter	09A	09A	REP	U	NL	M	Age 18 - 25	1	
UNION	11/03/2020	voter	028B	028	DEM	W	NL	M	Age Over 66	8	
NEW HANOVER	11/03/2020	voter	W08	W08	UNA	B	NL	M	Age Over 66	3	
MECKLENBURG	11/03/2020	voter	051	051	DEM	B	UN	U	Age 41 - 65	2	
MECKLENBURG	11/03/2020	voter	243	243	REP	M	HL	M	Age 41 - 65	1	
EDGECOMBE	11/03/2020	voter	1205	1205	DEM	U	UN	M	Age 41 - 65	3	
JACKSON	11/03/2020	voter	SCC	ALLSC	UNA	W	NL	F	Age 41 - 65	90	
MADISON	11/03/2020	voter	SPRING	SPRING	DEM	W	NL	F	Age 41 - 65	44	
NEW HANOVER	11/03/2020	voter	CF01	CF01	UNA	O	NL	F	Age 41 - 65	4	
ROCKINGHAM	11/03/2020	voter	HO	HO	UNA	B	UN	M	Age Over 66	1	
HOKE	11/03/2020	voter	12	12	REP	U	NL	M	Age 26 - 40	10	
MECKLENBURG	11/03/2020	voter	020	020	UNA	A	NL	F	Age 41 - 65	7	
BUNCOMBE	11/03/2020	voter	15.1	15.1	REP	W	UN	F	Age 41 - 65	10	
FORSYTH	11/03/2020	voter	402	402	UNA	B	UN	U	Age 26 - 40	2	
ORANGE	11/03/2020	voter	UNC	GR	LIB	W	NL	F	Age 18 - 25	1	
BUNCOMBE	11/03/2020	voter	41.1	41.1	REP	U	UN	U	Age 18 - 25	7	
FORSYTH	11/03/2020	voter	074	074	REP	O	NL	M	Age Over 66	1	
GUILFORD	11/03/2020	voter	RC1	RC1	UNA	B	HL	F	Age 41 - 65	1	
WAKE	11/03/2020	voter	17-07	17-07	REP	W	UN	M	Age 41 - 65	7	
PITT	11/03/2020	voter	1507B	1507B	REP	W	HL	M	Age Over 66	1	
GUILFORD	11/03/2020	voter	G37	G37	UNA	O	NL	M	Age 18 - 25	5	
CLAY	11/03/2020	voter	WARN	WARN	REP	W	NL	F	Age 26 - 40	22	
JOHNSTON	11/03/2020	voter	PR27B	PR27	DEM	W	HL	M	Age 41 - 65	2	
SCOTLAND	11/03/2020	voter	02-25	02	DEM	B	UN	F	Age Over 66	35	
WAKE	11/03/2020	voter	12-01	12-01	DEM	B	UN	F	Age Over 66	8	
CLEVELAND	11/03/2020	voter	KM S	KM3	DEM	W	NL	F	Age 26 - 40	15	
MECKLENBURG	11/03/2020	voter	137	137	LIB	B	UN	F	Age 18 - 25	1	
BEAUFORT	11/03/2020	voter	GILEA	GILEA	UNA	B	NL	F	Age 18 - 25	7	
GASTON	11/03/2020	voter	05	05	UNA	W	NL	U	Age Over 66	1	
WAKE	11/03/2020	voter	01-41	01-41	DEM	B	HL	M	Age 26 - 40	1	
HARNETT	11/03/2020	voter	PR07	PR07	UNA	O	HL	F	Age 18 - 25	29	
FORSYTH	11/03/2020	voter	806	806	DEM	U	HL	M	Age Over 66	1	
CHEROKEE	11/03/2020	voter	MURN	MURN	REP	U	HL	F	Age 18 - 25	1	
CASWELL	11/03/2020	voter	PELH	PELH	UNA	W	NL	F	Age 26 - 40	73	
WAKE	11/03/2020	voter	06-08	06-01	DEM	U	UN	M	Age Over 66	1	
WAYNE	11/03/2020	voter	08	08	UNA	I	NL	M	Age Over 66	1	
ROWAN	11/03/2020	voter	40	40	DEM	B	UN	U	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	053	053	UNA	B	UN	F	Age 18 - 25	27	
MITCHELL	11/03/2020	voter	01	01	REP	W	UN	F	Age 26 - 40	10	
ONSLOW	11/03/2020	voter	WN04	WN04	DEM	W	HL	M	Age 26 - 40	2	
NEW HANOVER	11/03/2020	voter	H12	H09	REP	W	UN	F	Age Over 66	26	
NEW HANOVER	11/03/2020	voter	W30	W30	UNA	U	UN	U	Age 18 - 25	62	
CABARRUS	11/03/2020	voter	01-02	01-02	DEM	U	UN	U	Age 26 - 40	22	
ROCKINGHAM	11/03/2020	voter	HO	HO	UNA	B	NL	F	Age 41 - 65	8	
HYDE	11/03/2020	voter	ENG	ENG	DEM	B	NL	M	Age 26 - 40	7	
MECKLENBURG	11/03/2020	voter	012	012	UNA	W	UN	M	Age 26 - 40	21	
MECKLENBURG	11/03/2020	voter	037	037	UNA	A	NL	M	Age 18 - 25	2	
RICHMOND	11/03/2020	voter	09	09	UNA	W	NL	M	Age Over 66	75	
FORSYTH	11/03/2020	voter	063	063	DEM	M	NL	U	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	225	225	CST	W	NL	M	Age 41 - 65	1	
CRAVEN	11/03/2020	voter	N3N5	N5	UNA	W	UN	M	Age 41 - 65	11	
BUNCOMBE	11/03/2020	voter	28.1	28.1	UNA	U	UN	M	Age 18 - 25	4	
MECKLENBURG	11/03/2020	voter	097	097	DEM	M	UN	F	Age 41 - 65	1	
GASTON	11/03/2020	voter	18	18	REP	B	UN	F	Age 41 - 65	2	
GASTON	11/03/2020	voter	01	01	UNA	W	UN	F	Age 41 - 65	15	
PITT	11/03/2020	voter	1511A	1511A	DEM	O	NL	F	Age Over 66	1	
TRANSYLVANIA	11/03/2020	voter	WC	WC	DEM	B	NL	F	Age 41 - 65	1	
CUMBERLAND	11/03/2020	voter	G5B-2	G5	UNA	W	UN	M	Age Over 66	2	
LINCOLN	11/03/2020	voter	PC22	PC22	REP	U	UN	M	Age 41 - 65	4	
RICHMOND	11/03/2020	voter	09	09	LIB	W	NL	M	Age Over 66	1	
MOORE	11/03/2020	voter	DHR	DHR	UNA	U	HL	M	Age 18 - 25	1	
PENDER	11/03/2020	voter	SH12	SH12	REP	W	UN	F	Age 26 - 40	9	
BUNCOMBE	11/03/2020	voter	04.1	04.1	UNA	B	UN	M	Age 26 - 40	1	
CABARRUS	11/03/2020	voter	12-05	12-05	UNA	B	UN	U	Age 26 - 40	2	
GUILFORD	11/03/2020	voter	JEF1	JEF1	UNA	B	UN	F	Age 18 - 25	5	
WAKE	11/03/2020	voter	01-37	01-37	REP	W	NL	F	Age 41 - 65	84	
CALDWELL	11/03/2020	voter	PR31	PR09	UNA	U	UN	U	Age 26 - 40	1	
CATAWBA	11/03/2020	voter	30	30	DEM	B	NL	M	Age 26 - 40	21	
CALDWELL	11/03/2020	voter	PR25	PR25	UNA	W	UN	F	Age Over 66	7	
MECKLENBURG	11/03/2020	voter	145	145	UNA	M	UN	F	Age 26 - 40	1	
WAKE	11/03/2020	voter	12-02	12-02	DEM	M	HL	F	Age 18 - 25	1	
PENDER	11/03/2020	voter	RP20	RP20	UNA	W	UN	F	Age Over 66	11	
BRUNSWICK	11/03/2020	voter	03	03	UNA	U	UN	F	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	004	004	DEM	W	NL	M	Age 41 - 65	26	
DAVIDSON	11/03/2020	voter	52	52	UNA	U	UN	F	Age 41 - 65	1	
STOKES	11/03/2020	voter	1618	18	DEM	W	NL	F	Age Over 66	9	
YANCEY	11/03/2020	voter	03 EGY	03-EGY	UNA	U	UN	M	Age 26 - 40	2	
WAKE	11/03/2020	voter	06-05	06-05	DEM	U	NL	F	Age 26 - 40	1	
GATES	11/03/2020	voter	1	1	UNA	W	NL	U	Age 26 - 40	1	
HENDERSON	11/03/2020	voter	EV	EV	UNA	U	UN	F	Age 26 - 40	3	
CATAWBA	11/03/2020	voter	19	19	DEM	B	UN	U	Age 18 - 25	1	
BRUNSWICK	11/03/2020	voter	18	18	DEM	W	NL	M	Age 41 - 65	50	
BEAUFORT	11/03/2020	voter	WASHP	WASHP	REP	W	NL	M	Age 26 - 40	23	
JOHNSTON	11/03/2020	voter	PR12A	PR12	DEM	U	UN	M	Age 41 - 65	15	
RANDOLPH	11/03/2020	voter	AN	10	DEM	O	HL	M	Age 26 - 40	4	
CABARRUS	11/03/2020	voter	12-12	12-12	UNA	A	NL	M	Age 18 - 25	1	
HENDERSON	11/03/2020	voter	NW	NW	REP	U	HL	F	Age Over 66	1	
FORSYTH	11/03/2020	voter	503	503	DEM	U	UN	U	Age 26 - 40	15	
MECKLENBURG	11/03/2020	voter	206	206	DEM	W	NL	M	Age 26 - 40	137	
MECKLENBURG	11/03/2020	voter	022	022	REP	O	NL	M	Age 26 - 40	1	
WAKE	11/03/2020	voter	16-05	16-05	DEM	W	UN	M	Age Over 66	4	
CHATHAM	11/03/2020	voter	42	42	REP	A	UN	M	Age Over 66	1	
GUILFORD	11/03/2020	voter	OR1	OR1	UNA	I	NL	F	Age Over 66	1	
FORSYTH	11/03/2020	voter	053	053	DEM	B	NL	F	Age Over 66	7	
BERTIE	11/03/2020	voter	W1	W1	UNA	B	NL	F	Age 41 - 65	25	
DURHAM	11/03/2020	voter	48	48	UNA	O	NL	F	Age 41 - 65	2	
UNION	11/03/2020	voter	021	021	UNA	B	UN	F	Age 41 - 65	1	
GRANVILLE	11/03/2020	voter	OKHL	OKHL	UNA	B	NL	F	Age 26 - 40	3	
SURRY	11/03/2020	voter	09	09	REP	W	UN	U	Age Over 66	2	
HALIFAX	11/03/2020	voter	WEL1-2	WEL-1	DEM	B	UN	M	Age Over 66	9	
ONSLOW	11/03/2020	voter	VR15	VR15	REP	U	NL	M	Age 26 - 40	1	
BRUNSWICK	11/03/2020	voter	20	20	UNA	B	NL	M	Age 26 - 40	4	
TRANSYLVANIA	11/03/2020	voter	CM	CM	UNA	W	UN	U	Age 41 - 65	1	
CHATHAM	11/03/2020	voter	3	3	REP	W	UN	U	Age Over 66	1	
WAKE	11/03/2020	voter	12-02	12-02	DEM	O	UN	M	Age 18 - 25	2	
GUILFORD	11/03/2020	voter	H28	HP	UNA	O	HL	F	Age Over 66	1	
JACKSON	11/03/2020	voter	WEB	WEB	DEM	U	UN	U	Age 18 - 25	7	
HAYWOOD	11/03/2020	voter	CR	CR	DEM	U	UN	F	Age 18 - 25	1	
LENOIR	11/03/2020	voter	I	I	REP	W	UN	M	Age Over 66	4	
HENDERSON	11/03/2020	voter	AR	AR	DEM	O	UN	F	Age 26 - 40	1	
JOHNSTON	11/03/2020	voter	PR31A	PR31A	DEM	A	NL	F	Age 41 - 65	1	
BUNCOMBE	11/03/2020	voter	67.1	67.1	DEM	W	UN	F	Age Over 66	65	
BURKE	11/03/2020	voter	0070	0070	REP	W	NL	M	Age 41 - 65	158	
CUMBERLAND	11/03/2020	voter	CC27	CC27	UNA	W	HL	F	Age 18 - 25	4	
WAKE	11/03/2020	voter	12-01	12-01	GRE	U	UN	U	Age 26 - 40	1	
ORANGE	11/03/2020	voter	CA	CA	UNA	W	NL	F	Age Over 66	14	
WARREN	11/03/2020	voter	003	003	DEM	B	UN	F	Age 41 - 65	28	
IREDELL	11/03/2020	voter	SH-B	SH-B	UNA	W	NL	M	Age 18 - 25	51	
WAKE	11/03/2020	voter	04-06	04-06	DEM	O	HL	M	Age Over 66	1	
DAVIDSON	11/03/2020	voter	18	18	UNA	O	NL	F	Age 41 - 65	1	
GUILFORD	11/03/2020	voter	G46	G46	DEM	U	HL	F	Age 18 - 25	3	
CUMBERLAND	11/03/2020	voter	CC10	CC10	UNA	M	HL	M	Age 18 - 25	2	
WAKE	11/03/2020	voter	14-02	14-02	UNA	O	NL	F	Age 41 - 65	11	
FORSYTH	11/03/2020	voter	605	605	REP	I	UN	F	Age 26 - 40	1	
UNION	11/03/2020	voter	025	025	REP	W	UN	F	Age 41 - 65	18	
